layer.1,layer.2,layer.3,layer.4,layer.5,layer.6
928,1253,1642,2718,3524,2925
961,1408,1743,2808,3568,3058
1054,1590.5,1899.5,3202.5,3688.5,3015
1127,1733,2414,4242,4102,2718
1163,1760,2137,3484,4428,3052
1122,1719,2072,3402,4400,3107
1060,1636,2038,3279,4319,3081
1230,1869,2478.5,3971,4494.5,3339
1040,1636,2006,3279,4127,3191
915,1472,1841,3074,3937,3029
1084.5,1672.5,1963,3277.5,3816.5,3244
1295.5,1900.5,2288.5,3544.5,4119.5,3621.5
1213.5,1720,2111,3472.5,3991,3256
1022,1644,2159,3311,4004,2535
1065,1455,1800,3148,3551,2784
943,1096.5,1268,2201.5,1964.5,1590
1034,1169,1332,2006,1832,1574
1149.5,1186,1215.5,2123.5,1987.5,1754
635.5,797.5,978,1660.5,2234.5,1880.5
601,779.5,988,1660.5,2214,1838
742,937,1228,2042,2756,2300
721,982,1188,2086,2730,2274
764,982,1228,2042,2757,2300
991,1537,2068,3296,3604,2453
978,1388,1736.5,2867,3503.5,2767
978,1403.5,1712,2811.5,3481,2918.5
963,1398.5,1746.5,2811,3468.5,2883.5
957.5,1409.5,1780,2866,3511.5,2864.5
950.5,1314,1573,2449.5,3447.5,3068
951,1280.5,1621,2495,3453,3069
1075,1668,1813,2924,3603,2996
1028,1457,1741,2971,3371,2676
1135,1592,1918,3147,3499,2756
1147.5,1707,2298,3561.5,3921.5,2920.5
1179,1864,2635,4020,4439,2972
1075,1669,2391,3892,4317,2738
871,1167.5,1512,2262.5,2837.5,2313.5
814,1185,1313,2256,3040,2746
915.5,1203,1540.5,2442,3202,2706.5
730,1019,1180,1967,2849,2583
752,1061,1280,2090,2849,2460
906,1211,1623,2529,3295,2609
847.5,1201.5,1550.5,2332,3163,2546
836,1185,1479,2213,3038,2420
829.5,1265,1696.5,2685,3192.5,2274.5
914,1308,1649,2502,3176,2597
885,1301,1682,2619,3320,2713
1034,1431.5,1726.5,2788.5,3235,2421
784.5,1130.5,1359,2161.5,2445,1902.5
1053,1548,2016,3016,3602,2687
948,1449,1898,2972,3729,2584
864.5,1201.5,1504.5,2539,3359.5,2468.5
800.5,1044.5,1262,2104,3046.5,2674.5
789,1032,1301.5,2080,3112,2717
834,1023,1299,2134,3134,2812
843.5,1186.5,1492,2324,3247,2757.5
890.5,1347.5,1602,2606.5,3231.5,2590
854,1282,1437,2316,2897,2412
871,1198,1464.5,2322,2930,2529.5
1031,1457,1859,2797,3424,2662
901.5,1250,1634,2472,2868.5,2092.5
862,1254,1687,2558,2868.5,2111
909.5,1210,1536,2375.5,2891.5,2349
962,1257,1568,2631,3215,2648
920,1325,1541,2631,3131,2623
1070,1390,1820,3018,3707,2839
982.5,1414,1740,2868.5,3362.5,2658.5
924.5,1274,1597.5,2534,2729.5,2153.5
850,1229,1507,2534,2643.5,2108.5
939,1325,1576,2761,3189,2751
916,1285,1625.5,2603.5,3302.5,2721.5
873,1368,1611,2548,2964,2373
999,1368,1744,2658,3385,2877
932,1288,1626,2527,3400,2891
924.5,1168.5,1544,2386,3333.5,2771.5
938,1269,1644,2506,3556,3172
851.5,1112,1406,2429,3206,2669
790,959,1229,2118,2967,2579
767,964,1333,2092,3103,2584
827,986,1382,2215,3185,2636
733,916,1268,2104,3130,2510
627.5,920,1056.5,1808,2462.5,1906
628,726,933,1505,1966,1480
650,866,1056,1836,2616,2067
729,901,1178,1913,2563,1853
766.5,973.5,1197.5,1885.5,2454,1840
722.5,949,1152.5,1827,2311,1825.5
744,1131,1323.5,2255.5,2516,1862
915,1363,1611,2550,2995,2459
937,1419,1721.5,2752.5,3230,2784.5
874,1246,1648,2567,3179,2651
894,1336,1594.5,2642.5,3192,2705.5
915.5,1297.5,1535.5,2662,3074,2515.5
780,1236,1368,2293,2629,2081
810,1125,1396,2357,2671,2182
717,957,1228,2169,2291,1926
876,1161,1439,2403,2926,2386
815,1100,1438,2217,2970,2465
771.5,1110.5,1389.5,2284.5,3052,2562.5
833,1029,1417,2250,3052,2572
763,1053,1368,2164,2940,2487
716,948,1250,2078,2912,2446
745.5,972,1197,1995,2737,2350.5
679.5,966,1207.5,2013,2782.5,2265
749,1003.5,1222.5,2055.5,2893.5,2440
777,1020.5,1284,2029,2973.5,2549.5
788,1049.5,1330,2119.5,3105.5,2543
779,1061,1193,2078,2890,2439
622,812,1089,1861,2658,2124
575,788,1039,1838,3026,2422
671.5,824.5,1051.5,1829,2733.5,2244
778,880,1135,1914,2774,2440
712,892,1153,1870,2925,2383
670,915,1135,1851,2824,2359
669,838.5,1122,1824.5,2819.5,2416.5
756.5,949.5,1172.5,1907,2882.5,2599.5
755,1104,1298,2208,3053,2714
625,893,1047,1843,2740,2420
735,902.5,1107,1804,2650.5,2434
878,1060,1280,2089,3175,2682
877,1185,1446,2337,3366,2682
1108,1457,1724,3025,3379,2663
860,1195,1507,2467,3379,2890
874.5,1146,1462.5,2306,3382.5,2853.5
790,1030.5,1348.5,2172.5,3310.5,2774
825.5,1075.5,1305,2149,3248.5,2842
783,1003,1312,2165,3224,2869
821,987,1333,2136,3336,2897
852,1028,1376,2208,3336,2976
821,1051,1396,2251,3355,2896
784,955,1333,2135,3292,2841
832.5,1145,1407,2428.5,3187,2671
788,823,978,1706,2426,2059
698,805,1009,1769.5,2608,2242.5
720,867,1077.5,1766.5,2707.5,2364
747.5,894.5,1082,1767,2707.5,2364
695.5,873.5,1025,1728,2623.5,2329
611,856,1016,1675,2680,2415
657,810,984.5,1617.5,2565.5,2248.5
695,831,1053,1711,2666,2269
715,1021,1181,1840,2844,2456
715,1186,1346,2251,3143,2660
1005,1514,1774,3151,3715,3025
1047,1637,1971,3274,3878,3147
885,1251,1629,2781,3234,2478
844,1251,1667,2694,3332,2582
913,1139.5,1457.5,2412.5,3084,2588.5
891.5,1129,1467,2413.5,3084,2549.5
859.5,1162,1506,2435.5,3086,2576.5
912,1207,1592.5,2587,3273,2616
954.5,1306.5,1727,2824,3447,2655
1008,1405.5,1890.5,3060,3594.5,2720.5
873,1107.5,1417.5,2352,3177.5,2695
811,1106,1291,2263,3221,2641
782,1106,1263,2205,3106,2599
996.5,1340.5,1815.5,3086,3510,2565
865,1274,1686,2908,3307,2348
865,1229,1551,2694,3134,2478
882,1223.5,1528,2520.5,3316.5,2688
875,1267,1545,2667,3381,2681
1075,1556,1843,2891,3914,2735
1012,1350,1704,2803,3778,2789
926.5,1292.5,1614.5,2715.5,3497.5,2850.5
878.5,1233.5,1571,2685,3344.5,2546
866,1295,1610,2822,3306,2477
887,1274,1576,2676,3134,2295
827,1324,1507,2634,3077,2373
908,1405,1819,2865,3060,2140
792,1175,1360.5,2302.5,2638,2112.5
928,1372.5,1630,2476,2922.5,2471
672,926,1113,1739,1935,1318
917,1354,1634,2405,2985,2446
983,1389.5,1673.5,2521.5,3185.5,2559
994,1358,1686,2633,3213,2604
998,1389,1696.5,2589,3292.5,2752
982,1358,1713,2634,3360,2903
1059,1478,1805,2859,3514,3021
982,1434,1766,2989,3429,2688
835,1146,1395.5,2434,3080.5,2426
922.5,1257,1554,2435.5,3100,2552
1026,1584,1952,2903,3283,2751
1255,1784,2091,3190,3686,3003
959,1367,1507,2676,2993,2331
966,1222,1546,2580.5,3019,2469
994,1374,1683,2596,3029,2604
939,1387.5,1697,2727,3153,2514.5
1024,1330,1683,2642,3754,2949
761,1107,1331,2117,2739,2036
1038.5,1373.5,1650,2639,3330.5,2737.5
1198.5,1587,1922.5,3171.5,3544.5,2884
1184,1539,1926,3233,4459,3617
1253,1633,2025,3414,5059,4043
1299,1587,2066,3414,4859,4070
1114,1584,1899,3140,3441,3004
865,1315,1566,2473,3103,2475
968.5,1399,1729,2618,3384,2861.5
1003,1496,1747,2592,3471,3007
1070,1539.5,1901,2926.5,3498,2906.5
1108.5,1511.5,1849,2962,3706.5,3152.5
909,1283,1528.5,2454,3430,2903.5
867.5,1292.5,1538.5,2606,3271,2507
1071,1496,1782,2848,3330,2692
1007.5,1434.5,1769.5,2735,3454.5,2915.5
921,1283.5,1555.5,2562.5,3292.5,2734.5
1053,1515,1736,2819,3511.5,2856
1073.5,1481.5,1785,2809,3414,2838.5
1089,1524,1958,3146,3655,2785
803,1236,1368,2204,2823,2247
825,1193,1402,2204,2795,2247
1004,1513,1806,2701,3632,3077
965.5,1392.5,1653.5,2616,3450,2799.5
858,1239,1391,2264.5,2936.5,2421
1029.5,1562.5,1853.5,2804.5,3573,3172
782,1193,1368,2204,2796,2163
765,1145.5,1337.5,2146,3001,2535
777.5,1147.5,1307.5,2129,3101,2666
916,1244,1611,2659,3613,2950
1034,1417,1706,2788,3725,3153
764.5,1095.5,1304,2260,2727.5,2213
1068,1583,1782,3104,3499,2962
999.5,1452.5,1645,2559.5,3105,2673
848,1236,1368,2204,3105,2877
892,1071,1438,2318,3359,2960
791.5,1022,1250,2017.5,3104,2707
757,941,1141.5,1924,2981,2686
794.5,1060,1331.5,2198,3243.5,2766
903,1321.5,1540,2344.5,3119,2618
924,1321.5,1572,2404,3052.5,2535
1010,1393,1745,2810.5,3434.5,2920
1026,1410,1610,2760,3132,2498
951,1505,1838,2883,2966,2591
568,730,935,1458,2122,1476
631,834,996,1594,2599,2017
683,991,1147,1805,2790,2087
928.5,1291,1785,2948,3295.5,2300.5
1284,1941,2460,3930.5,4191.5,3132
1003.5,1420,1698,2778,3402.5,2624
1111,1603,1895.5,3027.5,3543,2921.5
1056,1433,1816,2837,3358,2872
903.5,1295.5,1571,2462.5,3316.5,2741.5
876,1238,1501,2275,3074,2730
819,1226,1437,2275,3100,2536
891.5,1226.5,1532.5,2354,3092.5,2400
848,1194,1470,2275,3177,2203
931.5,1362,1573,2587.5,2937.5,2371.5
1008,1513,1836,2735,3762,3262
844,1310,1510,2327,3219,2855
1033.5,1452,1828,2748,3185.5,2558
1107,1624,2207,3310,3589,2642
924.5,1432,1693.5,2565,3131,2596.5
976,1388,1605,2522,3089.5,2490
917,1289,1506,2459,2878,2161
849,1169,1402,2331,2879,2288
689,1002.5,1172.5,1993.5,2482,1969.5
772,1097.5,1318.5,2232.5,2623.5,1985
974,1374,1609.5,2787.5,3040.5,2369.5
1054,1594,1833,2932,3674,3094
1032,1513,1834,2851,3946,3417
1011,1473,1801,2730,3947,3418
844.5,1178,1517,2483.5,3595.5,3016.5
867,1310,1607,2489,3650,3217
824,1158.5,1442.5,2422,3555,2990
825,1228,1476,2368,3571,3260
865,1187,1411,2368,3571,3139
843,1187,1346,2369,3498,2538
833,1169.5,1464.5,2414,3240,2420.5
763.5,1053,1462.5,2412,3062,2341
727,925,1087,1820,2851,2541
852,1202,1780,2838,3194,2549
898,1165,1524,2396,3191,2487
854,1229,1636,2769.5,3182,2293
918.5,1274,1803,2947,3310.5,2279.5
1111,1524,2054,3146,3703,2648
930.5,1416.5,1711,2852.5,3490,2855
879,1309,1544,2641,3288,2742
945.5,1339,1630.5,2599.5,3114,2614
1223,1740,2104,3110,3728,3348
1247,1740,2021,3296,3673,3178
1315,1811,2186,3343,3782,3234
1293,1765,2186,3295,3890,3319
1178,1600,2020,3109,3754,3347
948,1291,1647,2686,3377,2895
960,1365.5,1644,2615.5,3313.5,2685.5
851,1269,1508,2567,3249,2726
808,1079,1272.5,2240.5,3020.5,2622.5
842,1159.5,1372.5,2301,3315,2675
996,1244,1646,2450,3428,2799
874,1363,1578,2392,3180,2895
978,1513,1900,3060,3368,2918
957.5,1395,1681.5,2575.5,3345.5,2903
763,1098,1261,2215,2724,2089
908.5,1154,1528.5,2552.5,3430,2687
848,1226.5,1456.5,2381.5,3391.5,2745.5
811.5,1168.5,1435,2349.5,3236,2581.5
913,1321,1662,2753,3425,2488
935,1293.5,1760.5,3073.5,3605.5,2689.5
870,1312,1688,2924,3591,2410
