layer.1,layer.2,layer.3,layer.4,layer.5,layer.6
1316,1879,2300,3456.5,4071,3426
1059,1548.5,2003.5,3195,3667,2824
902,1315,1600,2360,2952,2401
846.5,1190,1464.5,2191.5,2772,2098
736,1066,1331,2062,2419,1824
925.5,1334.5,1617.5,2508,3030.5,2485.5
904.5,1249.5,1450,2467,3142.5,2428
1024,1212,1541,2687,3793,2949
916,1400,1713,2634,3105,2373
1288,1714,2051.5,3261.5,3859.5,3286
1286,1747.5,2111.5,3596.5,4060,3191.5
1343,1864,2179,3690,3612,2873
1343,1886,2198,3734,3612,2980
1407,1886,2257,3734,3663,2899
1162.5,1624.5,1955.5,3180.5,3507,2976.5
928,1347.5,1677,2615.5,3408,2740.5
951.5,1305,1614.5,2454.5,3430,2902
930.5,1294.5,1597,2432.5,3434.5,2923
931.5,1294.5,1548,2432,3373,2848.5
1007,1423.5,1760,2734.5,3526,2884.5
918,1339,1602.5,2504,3122,2474
863.5,1162.5,1388.5,2105,2705,2196.5
1031,1373,1821,2705,3692,3177
1011,1330,1783,2662,3615,3016
1011,1373,1803,2749,3540,2976
989,1352,1707,2634,3358,2870
1011,1373,1630,2835,3439,2790
868.5,1208,1431,2395.5,2768.5,2143
824,1166,1371,2123,2694.5,2090.5
848,1149,1298,2075,2711,2205
778.5,1103.5,1218.5,2015.5,2912,2470.5
895,1311,1485.5,2431.5,3185.5,2613.5
914,1324,1541,2420,3190,2542
952.5,1392,1633,2604.5,3415,2905
913.5,1331.5,1554,2474.5,3422.5,3028
710,976,1213,2088,3201,2865
624,976,1180,2048,2985,2541
892,1236,1472,2420,3219,2752
872.5,1210,1434.5,2345,3037,2495.5
962,1372,1603,2696,3294.5,2884
875.5,1108.5,1368,2167.5,3249.5,2885.5
737,976,1194,1945,2936,2559
715,976,1125,1901,2908,2583
738.5,998,1176.5,1968,2894.5,2654.5
936,1281,1506,2332,3189,2835
981,1410,1643,2418,3133,2848
913,1343,1540,2385,3000,2516.5
1009,1459.5,1735,2675.5,3393,2912.5
981,1453,1610,2590,3047,2666
975.5,1409,1713,2729,3225.5,2631.5
933,1258,1506,2524,3009,2473
603,767,936,1639,1923,1434
774,1056,1344.5,2081.5,2831,2199.5
753,1039.5,1286.5,2082.5,2737,2100.5
959,1313,1823,2879,3516,2591
768,1140.5,1542,2455,3245,2228.5
915,1424,2016,3482,3837,2409
917.5,1312.5,1725,2876.5,3547,2644.5
601,828,980,1688,2740,2502
1001.5,1540.5,2072,3238.5,3680.5,2606
913,1310,1648,2826,3732,2943
1098,1503,1818,3042,3783,2981
1093,1583,1780,3085,3551,2832
901,1325,1584,2654.5,3225.5,2565.5
838.5,1156.5,1430.5,2485.5,3151,2388.5
914,1285,1571,2523,3229.5,2567
897,1367,1540,2329,3203,2579
848,1235,1437,2274,3125,2164
828,1194,1470,2391,3151,2203
848,1235,1437,2391,3151,2319
937,1380.5,1967.5,3185,3550.5,2325
920,1325,1506,2670,2876,2453
1171,1635,1935,3020,3654,3262
1029,1717,1901,2898,3897,3381
1156,1526.5,1845.5,2946.5,3333,2671.5
1173,1700,2124,3176,3738,2987
1081,1585,1935,3199,3277.5,2537.5
1004,1417,1706,2873,3183,2581
931,1283,1545,2406.5,3056,2444.5
783.5,1130.5,1336,2188.5,2730,2089
1024.5,1348,1617.5,2626,3226,2577.5
781,1122,1298,2204,2767,2121
870.5,1145,1315.5,2238,2923,2303.5
937.5,1192.5,1491,2476,3145.5,2539.5
787,1148,1346,2364,3240,2810
808,1147,1411,2323,3512,3053
807,1188,1509,2446,3621,3135
806,1188,1476,2366,3595,3096
846,1188,1476,2366,3596,3136
804,1146,1411,2285,3488,3056
804,1105,1346,2245,3380,2937
961,1385,1888,3138,3606,2553
917,1345,1800,2882,3524,2463
972,1351.5,1849.5,2965.5,3532,2568
917,1345,1721,2795,3441,2756
876.5,1211.5,1514.5,2522.5,3420.5,2663.5
961,1300,1642,2662,3524,2720
1069,1389,1819,2750,3627,2850
1091,1480,1956,2971,3781,2824
1171,1778,2474,3866,4328,2980
1037,1412,1772,2876,3640,3105
992,1365,1687,2632.5,3525.5,2974
855.5,1206,1461.5,2509,3130.5,2733
832,1053,1332,2310,3118,2806
833,1143,1438,2312,3148,2779
1061,1364,1773,2628,3233,2836
1241.5,1740,2073.5,3102.5,3636,3246
1224,1670,2103,3248,3835,3290
1081,1448,1834,2749.5,3492,3076
984.5,1354,1694.5,2648.5,3155,2600.5
905.5,1302,1578,2692.5,3198,2642
873,1257,1560.5,2574,3237,2636
971.5,1432,1799,2759.5,3330,2830.5
920,1410,1647,2521,3150,2808
903,1186,1438,2308,3212,2799
846,1054,1375,2167,3238,2565
762,1140,1354,2255.5,3162.5,2776.5
903.5,1225,1521,2530,3231.5,2767.5
836,1188,1367,2385,2663,2254
798.5,1226.5,1423,2381.5,3329,2575.5
731,1104,1262,2077,2968,2565
800,1120.5,1420.5,2348.5,3126,2453
833.5,1147,1383,2282.5,3115,2450.5
925.5,1282.5,1770.5,2835,3531,2597.5
914.5,1226.5,1616,2705.5,3258,2608.5
915,1185,1524,2531,3374,2513
1084,1624,2361,4041,4184,2540
820,1348,1580,2802,3461,2756
864,1306,1514,2636,3816,3368
842,1263,1514,2636,3871,3531
755,914,1227,2140,3264,2502
785,1046.5,1268,2146,3297,2654.5
955,1357,1747,3011,3420,2567
975,1446,1920,3012,3544,2645
969,1348,1647,2498,3569,2876
1007,1324,1555,2540,3218,2745
974,1365,1724,2804,3302,2620
1008,1484.5,1861.5,3170.5,3259,2532.5
1071,1557,1707,2935,3111,2620
984,1495,2000,3114,3559,2771
984,1410,1844,3100,3405,2594
1093,1513.5,1943,3128,3689,2840.5
951,1405.5,1748,2886.5,3549,2834
721.5,977,1171.5,1958.5,2838,2472.5
737,1106,1263,2116,3091,2666
803,1149,1332,2245,3091,2685
852,1390,1610,2830,3394,2746
1243.5,1753.5,2059.5,3419.5,3962.5,3310.5
